,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp
0,0.973,31.5,0.04,30.5,1612812560.32815
1,0.163,31,0.04,30,1612812561.38382
2,0.163,31,0.04,30,1612812562.44208
3,0.163,31,0.04,30,1612812563.49883
4,0.244,31,0.04,29.5,1612812564.53943
5,0.163,31,0.04,30,1612812565.59638
6,0.163,31,0.04,30,1612812566.65284
7,0.163,31,0.04,30,1612812567.7072
8,0.285,31,0.04,30,1612812568.74718
9,0.163,31,0.04,29.5,1612812569.8038
10,0.163,31,0,31.5,1612812570.86025
11,0.163,31,0,31.5,1612812571.91677
12,0.77,31,0.081,30,1612812572.95637
13,0.163,31,0,31.5,1612812574.01231
14,0.204,31,0,32,1612812575.05984
15,0.204,30.5,0,31.5,1612812576.11691
16,0.163,31,0,32,1612812577.17789
17,0.162,31,0,32,1612812578.24111
18,0.162,31,0,32,1612812579.29566
19,0.162,31,0,32,1612812580.36017
20,0.163,31,0,32,1612812581.41592
21,0.163,30.5,0,31.5,1612812582.48008
22,0.163,31,0,32,1612812583.53819
23,0.163,31,0,32,1612812584.60512
24,0.163,30.5,0,32,1612812585.66107
25,0.163,31,0,32,1612812586.71863
26,0.163,31,0,32,1612812587.7766
27,0.163,30.5,0,32,1612812588.83592
28,0.284,31,0,32,1612812589.88947
29,0.163,30.5,0,32,1612812590.94357
30,0.163,31,0,31.5,1612812592.00229
31,0.203,30.5,0,32,1612812593.05991
32,0.163,31,0,32,1612812594.11784
33,0.163,31,0,32,1612812595.17629
34,0.203,31,0,31.5,1612812596.23239
35,0.163,31,0,31.5,1612812597.29121
36,0.163,31,0,32,1612812598.34927
37,0.163,31,0,32,1612812599.41261
38,0.163,31,0.04,29.5,1612812600.46999
39,0.163,30.5,0,31.5,1612812601.52957
40,0.163,31,0,31.5,1612812602.59034
41,0.163,31,0,31.5,1612812603.64781
42,0.163,30.5,0,31.5,1612812604.70909
43,0.163,31,0,31.5,1612812605.76789
44,0.163,31,0,31.5,1612812606.82292
45,0.163,30.5,0,32,1612812607.88514
46,0.163,30.5,0,32,1612812608.94009
47,0.203,30.5,0,31.5,1612812609.99913
48,0.163,30.5,0,32,1612812611.06203
49,0.163,31,0,32,1612812612.12322
50,0.163,31,0,31.5,1612812613.18352
51,0.163,30.5,0,31.5,1612812614.24073
52,0.163,31,0,32,1612812615.29588
53,0.163,31,0,31.5,1612812616.35147
54,0.163,30.5,0,32,1612812617.41482
55,0.163,30.5,0,32,1612812618.4744
56,0.163,30.5,0,31.5,1612812619.53797
57,0.163,30.5,0,31.5,1612812620.59303
58,0.163,30.5,0,32,1612812621.65389
59,0.163,30.5,0,31.5,1612812622.71689
60,0.163,31,0,31.5,1612812623.77701
61,0.163,30.5,0,32,1612812624.83319
62,0.163,30.5,0,31.5,1612812625.89409
63,0.163,30.5,0,31.5,1612812626.95198
64,0.163,30.5,0,31.5,1612812628.01148
65,0.163,31,0,31.5,1612812629.06795
66,0.163,30.5,0,31.5,1612812630.12489
67,0.163,30.5,0,31.5,1612812631.18162
68,0.163,30.5,0,31.5,1612812632.24143
69,0.163,30.5,0,31.5,1612812633.30321
70,0.163,30.5,0,31.5,1612812634.36154
71,0.163,30.5,0,32,1612812635.41797
72,0.163,31,0,32,1612812636.47565
73,0.163,31,0,31.5,1612812637.53235
74,0.163,31,0,31.5,1612812638.59184
75,0.163,30.5,0,31.5,1612812639.65634
76,0.163,31,0,31.5,1612812640.72055
77,0.163,30.5,0,31,1612812641.77749
78,0.163,30.5,0,31.5,1612812642.83715
79,0.163,30.5,0,31.5,1612812643.8915
80,0.163,30,0,31,1612812644.9473
81,0.163,30.5,0,31.5,1612812646.0134
82,0.163,30.5,0,31.5,1612812647.07263
83,0.163,30.5,0,31.5,1612812648.12851
84,0.163,30.5,0,31.5,1612812649.19407
85,0.163,30.5,0,31.5,1612812650.2572
86,0.163,30.5,0,31.5,1612812651.31587
87,0.163,30.5,0,31.5,1612812652.37979
88,0.163,30.5,0,31.5,1612812653.44133
89,0.163,30.5,0,31.5,1612812654.50544
90,0.163,30.5,0,31.5,1612812655.56139
91,0.163,30.5,0,31.5,1612812656.62024
92,0.163,30.5,0,31.5,1612812657.68106
93,0.163,30.5,0,31.5,1612812658.7369
94,0.163,30.5,0,31.5,1612812659.79204
95,0.163,30.5,0,31.5,1612812660.84447
96,0.163,30.5,0,31.5,1612812661.90073
97,0.163,30.5,0,31.5,1612812662.95594
98,0.163,30.5,0,31.5,1612812664.01894
99,0.163,30.5,0,31.5,1612812665.07714
100,0.163,30.5,0,31.5,1612812666.13142
101,0.163,30.5,0,31.5,1612812667.1906
102,0.163,30.5,0,31.5,1612812668.25181
103,0.163,30.5,0,31.5,1612812669.30821
104,0.163,30,0,31,1612812670.36575
105,0.163,30.5,0,32,1612812671.42619
106,0.163,30.5,0,31.5,1612812672.48484
107,0.163,30.5,0,31.5,1612812673.53978
108,0.163,30.5,0,31.5,1612812674.59586
109,0.163,30.5,0,31.5,1612812675.65415
110,0.163,30.5,0,32,1612812676.71589
111,0.163,30.5,0,31.5,1612812677.7747
112,0.163,30.5,0,32,1612812678.83326
113,0.163,30,0,31.5,1612812679.89914
114,0.163,30.5,0,31.5,1612812680.96357
115,0.163,30.5,0,31.5,1612812682.02507
116,0.163,30.5,0,31.5,1612812683.08792
117,0.163,30.5,0,31.5,1612812684.14381
118,0.163,30.5,0,31.5,1612812685.20085
119,0.203,30.5,0,32,1612812686.256
120,0.163,30.5,0,31.5,1612812687.31779
121,0.163,30.5,0,31,1612812688.37722
122,0.163,30.5,0,31.5,1612812689.43726
123,0.163,30.5,0,31.5,1612812690.49701
