,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
0,0.69,34.5,0.0,35.5,1614818679.2745874,2.235
1,0.163,34.0,0.0,35.0,1614818680.337333,1.426
2,0.163,34.0,0.0,34.5,1614818681.4049335,1.388
3,0.163,34.0,0.0,34.5,1614818682.4763844,1.388
4,0.163,34.0,0.0,34.5,1614818683.5377529,1.388
5,0.163,34.0,0.0,34.5,1614818684.6060135,1.426
6,0.163,33.5,0.0,34.5,1614818685.7016318,1.347
7,0.163,34.0,0.0,35.0,1614818686.769437,1.388
8,0.163,33.5,0.0,35.0,1614818687.8389504,1.388
9,0.163,33.5,0.0,35.0,1614818688.9185371,1.347
10,0.163,33.5,0.0,34.5,1614818689.9827821,1.388
11,0.163,34.0,0.0,35.0,1614818691.0496716,1.388
12,0.163,33.5,0.0,34.5,1614818692.124235,1.388
13,0.163,34.0,0.0,34.5,1614818693.1848726,1.388
14,0.163,34.0,0.0,35.0,1614818694.2597108,1.388
15,0.163,33.5,0.0,35.0,1614818695.3292236,1.426
16,0.163,34.0,0.0,35.0,1614818696.3957417,1.388
17,0.163,33.5,0.0,34.5,1614818697.4661844,1.426
18,0.163,33.0,0.0,34.5,1614818698.5344434,1.388
19,0.691,34.0,0.0,35.0,1614818699.5823793,2.272
20,0.163,33.5,0.04,32.5,1614818700.6555357,1.469
21,0.163,33.5,0.0,34.5,1614818701.7180657,1.388
22,0.163,33.5,0.0,34.5,1614818702.7940328,1.388
23,0.163,33.0,0.0,35.0,1614818703.8581073,1.388
24,0.163,33.5,0.0,34.5,1614818704.9310682,1.388
25,0.163,33.5,0.0,34.5,1614818706.0015516,1.388
26,0.163,33.5,0.0,35.0,1614818707.0736666,1.388
27,0.163,33.0,0.0,34.5,1614818708.1462567,1.426
28,0.163,33.5,0.0,34.0,1614818709.2137132,1.388
29,0.163,33.5,0.0,34.0,1614818710.2831845,1.388
30,0.163,33.5,0.0,34.5,1614818711.3547695,1.388
31,0.163,33.5,0.0,34.5,1614818712.418695,1.429
32,0.163,33.5,0.0,34.5,1614818713.4911592,1.388
33,0.204,33.5,0.0,34.5,1614818714.5545368,1.467
34,0.163,33.5,0.0,34.0,1614818715.6263652,1.388
35,0.163,33.0,0.0,34.5,1614818716.6949139,1.388
36,0.163,33.0,0.0,34.5,1614818717.7620947,1.429
37,0.163,33.5,0.0,34.0,1614818718.8263736,1.388
38,0.163,33.0,0.0,34.0,1614818719.8902645,1.347
39,0.163,33.0,0.0,34.0,1614818720.959323,1.386
40,0.163,33.0,0.0,34.0,1614818722.0294278,1.429
41,0.163,33.0,0.0,34.0,1614818723.1032553,1.388
42,0.163,33.0,0.0,34.0,1614818724.1691444,1.347
43,0.163,33.5,0.0,33.5,1614818725.2464507,1.388
44,0.163,33.0,0.0,34.5,1614818726.3194754,1.388
45,0.163,33.0,0.0,34.5,1614818727.3837764,1.388
46,0.163,33.0,0.0,34.0,1614818728.4550292,1.429
47,0.163,33.0,0.0,34.0,1614818729.524939,1.388
48,0.163,33.0,0.0,34.0,1614818730.5892992,1.388
49,0.163,33.0,0.0,34.0,1614818731.6512003,1.386
50,0.163,33.0,0.0,34.0,1614818732.7134192,1.426
51,0.163,33.0,0.0,34.5,1614818733.7772937,1.429
52,0.163,33.0,0.0,34.0,1614818734.844919,1.429
53,0.163,33.5,0.0,34.0,1614818735.9094565,1.426
54,0.163,33.5,0.0,34.0,1614818736.9854586,1.426
55,0.163,33.5,0.0,34.0,1614818738.0492327,1.388
56,0.163,32.5,0.0,34.0,1614818739.1149068,1.388
57,0.163,33.0,0.0,34.0,1614818740.181366,1.388
58,0.245,33.0,0.0,34.0,1614818741.2471178,1.426
59,0.163,33.0,0.0,34.0,1614818742.318782,1.388
60,0.406,33.5,0.324,32.5,1614818743.3703105,2.515
61,0.325,33.0,0.365,32.5,1614818744.4277666,2.393
62,0.325,33.5,0.325,32.0,1614818745.4782376,2.434
63,0.325,33.5,0.325,32.5,1614818746.5389154,2.312
64,0.365,33.5,0.324,32.5,1614818747.590217,2.511
65,0.325,33.5,0.324,32.0,1614818748.6436245,2.475
66,0.324,33.5,0.324,32.5,1614818749.6955745,2.475
67,0.284,33.0,0.324,32.5,1614818750.7500656,2.434
68,0.324,33.5,0.324,32.0,1614818751.805841,2.434
69,0.325,33.5,0.324,32.5,1614818752.859666,2.511
70,1.093,33.5,0.08,32.5,1614818753.907063,2.912
71,1.213,34.0,0.161,32.5,1614818754.9523153,2.952
72,0.163,33.0,0.0,34.5,1614818756.0115027,1.426
73,0.163,33.0,0.04,32.0,1614818757.075982,1.426
74,0.163,32.5,0.04,32.0,1614818758.139471,1.429
75,0.163,33.5,0.04,32.0,1614818759.2023003,1.508
76,0.366,33.0,0.203,32.0,1614818760.2534463,2.235
77,0.204,32.5,0.04,32.0,1614818761.3195066,1.467
78,0.163,33.0,0.081,31.5,1614818762.38283,1.508
79,0.163,33.0,0.0,31.5,1614818763.4623027,1.63
80,0.163,33.0,0.0,33.5,1614818764.5334907,1.388
81,0.163,33.0,0.04,34.0,1614818765.5979648,1.589
82,0.163,32.5,0.04,32.0,1614818766.6673555,1.467
83,0.163,33.0,0.04,31.5,1614818767.7360907,1.467
84,0.163,32.5,0.081,31.5,1614818768.8069787,1.508
85,0.163,32.5,0.04,32.0,1614818769.875346,1.549
86,0.163,32.5,0.04,31.5,1614818770.939915,1.426
87,0.204,33.0,0.081,32.0,1614818772.0090423,1.549
88,0.163,32.5,0.0,31.5,1614818773.0737293,1.429
89,0.163,32.5,0.0,33.5,1614818774.146541,1.426
90,0.163,32.5,0.04,31.5,1614818775.2135496,1.426
91,0.163,32.5,0.04,31.5,1614818776.2947474,1.467
92,0.163,33.0,0.04,32.0,1614818777.3574052,1.426
93,0.163,33.0,0.081,31.5,1614818778.425236,1.549
94,0.163,32.5,0.04,31.5,1614818779.4933805,1.467
95,0.163,32.5,0.04,31.5,1614818780.556924,1.467
96,0.204,32.5,0.081,31.5,1614818781.6228797,1.589
97,0.163,32.5,0.0,33.0,1614818782.6910903,1.388
98,0.163,32.5,0.0,33.5,1614818783.7547512,1.467
99,0.163,32.5,0.04,31.5,1614818784.8187943,1.467
100,0.163,32.5,0.04,31.5,1614818785.8896122,1.467
101,0.163,32.5,0.04,31.5,1614818786.967195,1.426
102,0.163,32.5,0.081,31.5,1614818788.0333295,1.589
103,0.163,32.5,0.04,31.5,1614818789.10503,1.467
104,0.163,32.5,0.04,31.5,1614818790.1748192,1.426
105,0.204,32.5,0.081,31.5,1614818791.2311661,1.671
106,0.163,32.5,0.0,33.0,1614818792.2934048,1.388
107,0.163,32.0,0.0,33.5,1614818793.3508277,1.426
108,0.163,32.0,0.04,31.5,1614818794.415413,1.426
109,0.163,32.0,0.04,31.5,1614818795.483171,1.429
110,0.163,32.0,0.04,31.0,1614818796.5512254,1.467
111,0.204,32.5,0.122,31.5,1614818797.6061676,1.671
112,0.204,32.5,0.04,31.5,1614818798.6750796,1.467
113,0.163,32.0,0.04,31.5,1614818799.7393363,1.549
114,0.204,32.5,0.04,31.5,1614818800.7994702,1.709
115,0.163,32.5,0.0,33.5,1614818801.8612995,1.429
116,0.163,32.0,0.04,33.0,1614818802.9355767,1.467
117,0.163,32.5,0.04,31.5,1614818804.0006123,1.467
118,0.163,32.0,0.04,31.0,1614818805.0785596,1.467
119,0.163,32.0,0.081,31.0,1614818806.143399,1.508
120,0.163,32.0,0.04,31.0,1614818807.2172043,1.712
121,0.163,32.0,0.04,31.5,1614818808.2983592,1.388
122,0.163,32.5,0.04,31.0,1614818809.3683527,1.508
123,0.163,32.5,0.04,31.0,1614818810.4318972,1.668
