,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
0,0.892,35.0,0.04,33.5,1614746659.4200985,2.353
1,0.163,34.0,0.04,33.5,1614746660.4896872,1.469
2,0.163,34.5,0.04,33.5,1614746661.5591571,1.508
3,0.163,34.5,0.081,33.5,1614746662.6259153,1.549
4,0.163,34.0,0.04,33.5,1614746663.6976774,1.712
5,0.973,35.0,0.04,33.5,1614746664.7482615,2.673
6,0.972,34.5,0.081,33.5,1614746665.7986019,2.754
7,1.014,35.5,0.0,35.5,1614746666.8618674,3.149
8,0.811,34.5,0.0,35.5,1614746667.9120047,2.515
9,0.65,34.5,0.04,33.5,1614746668.9634864,2.393
10,1.174,36.5,0.04,33.5,1614746670.0141146,2.912
11,0.528,34.5,0.081,33.5,1614746671.0652323,2.475
12,1.093,35.0,0.081,33.5,1614746672.1152334,2.714
13,1.336,35.0,0.081,34.0,1614746673.163415,2.835
14,1.093,35.5,0.08,33.5,1614746674.216461,2.912
15,1.255,35.0,0.081,34.0,1614746675.272578,2.952
16,1.174,35.0,0.04,33.5,1614746676.324675,2.835
17,1.053,34.5,0.04,34.0,1614746677.373771,2.673
18,0.811,34.0,0.04,33.5,1614746678.4264727,2.714
19,0.972,34.5,0.081,34.0,1614746679.4783268,2.795
20,1.012,35.0,0.04,34.0,1614746680.5297382,2.714
21,0.689,34.5,0.04,33.5,1614746681.5811894,2.673
22,0.486,34.5,0.081,33.5,1614746682.6393964,2.714
23,0.365,34.5,0.04,33.5,1614746683.6947052,2.353
24,0.487,34.5,0.04,34.0,1614746684.7460968,2.316
25,0.366,34.5,0.04,34.0,1614746685.8056808,2.032
26,1.209,35.0,0.04,34.0,1614746686.8566175,3.306
27,0.728,34.5,0.08,33.5,1614746687.9043105,2.912
28,1.29,34.5,0.08,33.5,1614746688.9566922,3.265
29,1.09,35.0,0.04,34.0,1614746690.0219724,3.502
30,0.525,34.5,0.04,34.0,1614746691.076687,3.028
31,0.728,34.5,0.04,33.5,1614746692.4258099,2.907
32,1.009,34.5,0.04,33.5,1614746693.7721148,3.149
33,0.567,35.0,0.04,33.5,1614746694.8266716,3.069
34,0.647,34.0,0.08,34.0,1614746695.8958135,2.79
35,0.364,35.0,0.04,34.0,1614746696.9517748,2.79
36,0.768,35.0,0.08,33.5,1614746698.0059185,3.225
37,1.489,35.0,0.04,34.0,1614746699.0652955,3.502
38,0.566,36.0,0.04,33.5,1614746700.4709432,3.386
39,0.486,35.0,0.202,34.0,1614746701.8320398,2.831
