,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
0,1.539,28.0,0.0,27.5,1617814645.512303,2.995
1,0.713,28.0,0.0,27.0,1617814646.5570045,2.469
2,0.294,27.0,0.0,27.0,1617814647.6150815,2.267
3,1.044,28.5,0.0,28.0,1617814648.659188,2.712
4,0.63,27.5,0.0,27.5,1617814649.7072084,2.389
5,0.421,27.5,0.0,27.0,1617814650.759061,2.267
6,0.379,27.0,0.0,27.0,1617814651.8117714,2.267
7,1.21,29.0,0.0,28.0,1617814652.8569095,2.833
8,1.001,27.5,0.125,27.0,1617814653.901905,2.754
9,0.753,28.5,0.083,27.0,1617814654.9467442,2.795
10,0.877,27.5,0.083,27.5,1617814655.9965477,2.791
11,0.961,28.0,0.041,27.0,1617814657.044304,2.916
12,0.628,28.0,0.041,27.0,1617814658.0959597,2.674
13,0.919,27.5,0.083,27.5,1617814659.1459773,2.632
14,1.043,28.0,0.041,27.5,1617814660.1940238,2.916
15,0.586,27.0,0.041,27.0,1617814661.243916,2.67
16,1.166,28.5,0.083,27.5,1617814662.2973742,3.073
17,0.92,28.5,0.041,27.5,1617814663.343174,2.591
18,0.419,27.5,0.041,27.5,1617814664.3938763,2.469
19,0.252,27.5,0.041,27.5,1617814665.6305246,2.309
20,0.961,28.0,0.125,27.5,1617814666.6761682,2.833
21,0.629,27.5,0.041,27.5,1617814667.717165,2.469
22,1.041,28.5,0.083,27.5,1617814668.7569141,2.791
23,1.481,28.5,0.041,28.0,1617814669.8079782,3.621
24,1.32,29.5,0.041,28.5,1617814670.9888883,3.462
25,0.83,28.5,0.124,28.0,1617814672.0317214,2.944
26,1.442,29.5,0.082,28.0,1617814673.0828338,3.544
27,0.5,28.0,0.0,27.5,1617814674.8968008,2.666
28,0.499,27.5,0.0,28.0,1617814675.9424613,2.944
29,0.459,28.0,0.0,28.0,1617814677.1171591,2.865
30,0.5,28.0,0.0,27.5,1617814678.1904864,2.787
31,0.499,28.5,0.083,27.5,1617814679.2668638,2.787
32,0.582,28.0,0.083,27.5,1617814680.3601394,3.027
33,1.074,29.0,0.041,28.0,1617814681.4063928,3.426
34,0.407,29.5,2.272,29.5,1617814682.5392075,5.379
35,1.807,29.5,0.0,29.0,1617814683.627544,4.02
36,0.682,30.5,3.004,30.0,1617814684.7204273,6.38
37,0.32,32.5,3.8,31.0,1617814685.7658358,6.72
38,0.315,33.5,4.912,32.0,1617814686.819028,8.684
39,0.912,31.0,0.165,29.0,1617814687.9071093,4.074
40,0.284,31.0,3.281,31.0,1617814688.9617078,5.793
41,0.282,32.0,3.577,31.0,1617814690.0094774,6.561
42,0.279,33.0,4.617,32.5,1617814691.0577297,7.643
43,0.281,33.0,4.006,32.0,1617814692.1030436,6.821
44,0.79,29.5,0.0,30.0,1617814693.1518087,3.073
45,0.484,32.0,3.341,32.0,1617814694.2010553,6.561
46,0.281,33.5,4.012,31.5,1617814695.247137,6.902
47,0.279,33.5,4.65,33.0,1617814696.2961502,7.603
48,0.281,33.5,4.093,32.5,1617814697.344026,6.902
49,0.323,33.5,3.467,32.0,1617814698.3895063,6.41
50,0.28,34.0,4.32,33.0,1617814699.4359605,7.28
51,0.315,34.0,4.967,34.0,1617814700.4877136,8.529
52,0.787,31.0,0.165,30.5,1617814701.5448205,3.839
53,0.708,31.0,0.0,30.5,1617814702.5994458,3.519
54,0.363,33.5,3.427,32.5,1617814703.6460075,6.37
55,0.361,34.5,4.012,33.0,1617814704.6883023,6.861
56,0.394,34.5,4.975,33.5,1617814705.7449577,8.45
57,0.405,33.5,3.443,33.5,1617814706.788268,6.036
58,0.322,34.0,4.059,33.5,1617814707.8339365,6.872
59,0.358,34.5,4.505,34.0,1617814708.8807065,7.575
60,0.321,34.5,4.093,33.5,1617814709.9280872,7.062
61,0.708,31.5,0.0,31.5,1617814710.9830167,3.359
62,0.616,32.5,1.476,32.0,1617814712.0334475,4.71
63,0.322,34.5,3.864,33.0,1617814713.0812562,6.642
64,0.319,35.5,4.704,34.0,1617814714.1294055,7.695
65,0.319,35.0,4.744,34.5,1617814715.1867332,7.547
66,0.283,34.0,3.438,33.5,1617814716.2339435,6.269
67,0.322,35.5,3.979,34.0,1617814717.2790227,6.803
68,0.357,36.0,4.983,35.0,1617814718.3326766,8.424
69,1.558,32.5,0.164,32.5,1617814719.3857033,4.512
70,0.87,31.5,0.0,32.0,1617814720.4398057,3.643
71,0.36,35.0,4.146,34.0,1617814721.4975157,7.4
72,0.362,35.0,4.019,34.5,1617814722.5404284,6.913
73,0.359,36.5,4.665,35.0,1617814723.5879548,7.695
74,1.051,36.0,3.033,34.5,1617814724.6307473,6.269
75,0.282,35.5,3.985,34.5,1617814725.6764069,6.803
76,0.32,36.5,4.585,35.5,1617814726.7258537,7.814
77,0.32,36.5,4.545,35.5,1617814727.7797248,7.587
78,0.83,32.5,0.0,33.0,1617814728.8263183,3.519
79,1.725,33.5,0.082,32.0,1617814729.8809314,4.553
80,0.324,34.5,3.159,34.5,1617814730.9301171,6.157
81,0.36,36.5,4.712,35.5,1617814731.9767652,7.627
82,0.358,37.0,4.697,36.0,1617814733.024324,7.854
83,0.401,36.0,3.926,35.5,1617814734.0835028,7.411
84,0.322,36.5,3.979,35.5,1617814735.1329637,6.964
85,0.32,37.0,4.592,36.0,1617814736.1808827,7.56
86,1.515,34.5,0.451,34.0,1617814737.2416604,4.594
87,0.832,33.5,0.0,33.0,1617814738.2879353,3.078
88,0.443,35.5,2.853,35.0,1617814739.3473809,6.942
89,0.322,37.0,4.052,35.5,1617814740.393703,6.982
90,0.359,37.5,4.617,36.5,1617814741.4422238,7.762
91,0.322,37.0,4.099,36.0,1617814742.4917634,6.722
92,0.324,35.5,3.154,35.5,1617814743.5431836,6.188
93,0.36,37.5,4.744,36.5,1617814744.590514,7.547
94,0.398,37.5,4.737,36.5,1617814745.6379554,7.961
95,0.83,34.0,0.082,34.0,1617814746.6882076,3.478
96,0.708,34.0,0.0,34.0,1617814747.73882,3.395
97,0.403,37.0,3.462,36.0,1617814748.788766,6.521
98,0.361,38.0,4.206,36.5,1617814749.8338335,7.211
99,0.394,38.0,4.928,37.0,1617814750.888619,8.673
100,0.364,36.5,3.109,36.0,1617814751.9384873,6.572
101,0.322,37.5,4.099,36.5,1617814752.9839394,6.913
102,0.359,38.5,4.625,37.5,1617814754.0291643,7.655
103,0.322,37.5,4.019,36.5,1617814755.0803716,6.421
104,0.912,35.0,0.0,34.5,1617814756.1308577,3.4
105,0.483,37.0,3.376,36.5,1617814757.1849685,6.511
106,0.321,37.5,3.972,37.0,1617814758.2305236,6.942
107,0.318,38.0,4.737,38.0,1617814759.2801838,7.535
108,0.321,38.5,4.173,37.0,1617814760.3257356,6.953
109,0.324,37.5,3.392,37.0,1617814761.379023,6.682
110,0.322,38.0,4.093,37.5,1617814762.4279654,7.211
111,0.354,39.0,5.156,38.5,1617814763.4837387,8.856
112,0.829,35.5,0.165,35.5,1617814764.5331674,3.561
113,0.789,35.0,0.0,35.5,1617814765.583956,3.436
